ind	ir	subpop	population
M109	-0.091149323	blue	SA
M103	-0.055535147	blue	SA
F102	-0.048421036	blue	SA
M122	-0.041961089	blue	SA
M060	-0.017619414	blue	SA
F065	-0.002752095	blue	SA
F101	0.001175943	blue	SA
F050	0.007610951	blue	SA
F123	0.016786174	blue	SA
F089	0.040242411	blue	SA
F044	0.054551062	blue	SA
M057	0.058656019	blue	SA
M058	0.060337393	blue	SA
F052	0.064485227	blue	SA
M081a	0.076738503	blue	SA
F055	0.108939574	blue	SA
FP001	0.112944267	blue	SA
F061	0.11607486	blue	SA
FP003	0.125174246	blue	SA
F081b	0.142422949	blue	SA
M063	0.152466305	blue	SA
F028	0.154322329	blue	SA
F090	0.163315499	blue	SA
M072	0.166353991	blue	SA
M145	0.166385455	blue	SA
M027	0.172439797	blue	SA
F085	0.174582541	blue	SA
M087	0.233604429	blue	SA
M079	0.239171443	blue	SA
F062	0.247451581	blue	SA
M026	0.251960997	blue	SA
M116	0.258258729	blue	SA
M082	0.275472392	blue	SA
M056	0.288936307	blue	SA
F133	0.304816272	blue	SA
F095	0.320808604	blue	SA
M100	0.325244642	blue	SA
M106	0.3474596	blue	SA
F051	0.367510274	blue	SA
M064	0.368748945	blue	SA
M120	0.376195375	blue	SA
M096	0.379999736	blue	SA
F054	0.380148173	blue	SA
FP02	0.380325331	blue	SA
F045	0.414030138	blue	SA
F092	-0.140364071	green	SA
M093	-0.106446786	green	SA
F127	-0.083418668	green	SA
F104	-0.072376019	green	SA
M086	-0.071916197	green	SA
M097	-0.010395872	green	SA
M118	-0.006302005	green	SA
F121	0.004883175	green	SA
F126	0.024653345	green	SA
M091	0.045457778	green	SA
M124	0.162600871	green	SA
M112	0.196333278	green	SA
M068	-0.359237812	orange	EP
F020	-0.202262768	orange	EP
M071	-0.085147143	orange	EP
F035	-0.079612985	orange	EP
M033	-0.069511571	orange	EP
M034	-0.044266211	orange	EP
M107	-0.03529661	orange	EP
M131	0.025936631	orange	EP
M036	0.050794622	orange	EP
M128	0.079711342	orange	EP
F041	0.095392694	orange	EP
M147	0.154912202	orange	EP
M016	-0.256902624	red	EP
F153	-0.246969176	red	EP
M009	-0.210714656	red	EP
M098	-0.180919269	red	EP
M148	-0.179205746	red	EP
M151	-0.177803002	red	EP
M046	-0.137558448	red	EP
M017	-0.131339978	red	EP
M111	-0.124582775	red	EP
M172	-0.120535849	red	EP
F139	-0.110340242	red	EP
M039	-0.094792972	red	EP
M005	-0.092097817	red	EP
F083b	-0.087556007	red	EP
F004	-0.085747323	red	EP
M173	-0.085244069	red	EP
F149	-0.081067903	red	EP
F137	-0.072095908	red	EP
M119	-0.068567862	red	EP
M002	-0.064692604	red	EP
M134	-0.063862063	red	EP
F043	-0.062839045	red	EP
F138	-0.058935595	red	EP
M170	-0.057520778	red	EP
M040	-0.043544059	red	EP
F143	-0.041768871	red	EP
M110	-0.040224769	red	EP
F070	-0.034109487	red	EP
F018	-0.031224717	red	EP
F047	-0.028189819	red	EP
F019	-0.025092701	red	EP
M150	-0.02159841	red	EP
M031	-0.020740208	red	EP
F029	-0.0163404	red	EP
F021	-0.014593277	red	EP
M053	-0.004185871	red	EP
M010	-0.003058925	red	EP
F038	0.000177872	red	EP
M108	0.005994107	red	EP
F094	0.009831629	red	EP
M067	0.010353524	red	EP
F007	0.014395225	red	EP
M003	0.027434734	red	EP
M129	0.030289851	red	EP
F042	0.03378905	red	EP
M125	0.046516157	red	EP
M069	0.053537265	red	EP
M032	0.057239138	red	EP
M130	0.071577808	red	EP
F083c	0.07542566	red	EP
M141	0.076422876	red	EP
M006	0.09893884	red	EP
F008	0.10734053	red	EP
M140	0.107698879	red	EP
F105	0.112364087	red	EP
M037	0.115795813	red	EP
M083a	0.127968982	red	EP
F048	0.137654827	red	EP
F013	0.163780139	red	EP
M171	0.165891601	red	EP
M001	0.179419161	red	EP
F014	0.181542009	red	EP
M146	0.182234213	red	EP
M022	0.188806909	red	EP
M132	0.227147999	red	EP
F015	0.232550596	red	EP
M059	0.242315804	red	EP
M135	0.243461062	red	EP
F049	0.27648441	red	EP
F088	0.281587756	red	EP
