time	time2	pop	loc	nallele	expectedcorrected	fstat
1W	1	W	1	2	0.1	1.8
1E	1	E	1	2	0.283	1.969
2W	2	W	1	2	0.294	2
2E	2	E	1	2	0.327	1.987
3W	3	W	1	2	0.313	1.981
3E	3	E	1	2	0.34	1.99
4W	4	W	1	2	0.305	1.975
4E	4	E	1	2	0.363	1.994
5W	5	W	1	2	0.361	1.994
5E	5	E	1	2	0.239	1.932
1W	1	W	2	2	0.505	2
1E	1	E	2	3	0.4	2.291
2W	2	W	2	2	0.523	2
2E	2	E	2	3	0.542	2.798
3W	3	W	2	2	0.479	2
3E	3	E	2	3	0.471	2.524
4W	4	W	2	2	0.489	2
4E	4	E	2	3	0.39	2.279
5W	5	W	2	2	0.488	2
5E	5	E	2	3	0.345	2.225
1W	1	W	3	2	0.1	1.8
1E	1	E	3	3	0.366	2.489
2W	2	W	3	1	0	1
2E	2	E	3	3	0.334	2.299
3W	3	W	3	2	0.189	1.87
3E	3	E	3	3	0.399	2.515
4W	4	W	3	2	0.251	1.94
4E	4	E	3	3	0.434	2.49
5W	5	W	3	2	0.337	1.99
5E	5	E	3	3	0.363	2.23
1W	1	W	4	2	0.442	2
1E	1	E	4	4	0.614	3.716
2W	2	W	4	2	0.471	2
2E	2	E	4	4	0.571	3.62
3W	3	W	4	2	0.487	2
3E	3	E	4	4	0.441	3.122
4W	4	W	4	2	0.505	2
4E	4	E	4	3	0.315	2.655
5W	5	W	4	2	0.503	2
5E	5	E	4	3	0.317	2.587
1W	1	W	5	2	0.505	2
1E	1	E	5	3	0.652	2.994
2W	2	W	5	2	0.366	2
2E	2	E	5	3	0.618	2.946
3W	3	W	5	2	0.29	1.972
3E	3	E	5	3	0.661	2.994
4W	4	W	5	2	0.287	1.966
4E	4	E	5	3	0.586	2.961
5W	5	W	5	2	0.361	1.994
5E	5	E	5	3	0.548	2.943
1W	1	W	6	4	0.711	3.8
1E	1	E	6	5	0.688	3.797
2W	2	W	6	3	0.627	2.993
2E	2	E	6	4	0.663	3.312
3W	3	W	6	3	0.609	2.971
3E	3	E	6	4	0.701	3.829
4W	4	W	6	3	0.572	2.959
4E	4	E	6	4	0.678	3.763
5W	5	W	6	3	0.478	2.809
5E	5	E	6	4	0.69	3.776
1W	1	W	7	1	0	1
1E	1	E	7	4	0.379	2.992
2W	2	W	7	2	0.111	1.889
2E	2	E	7	4	0.451	3.098
3W	3	W	7	2	0.131	1.736
3E	3	E	7	3	0.275	2.429
4W	4	W	7	3	0.151	2.026
4E	4	E	7	2	0.223	1.92
5W	5	W	7	2	0.12	1.713
5E	5	E	7	2	0.302	1.975
1W	1	W	8	3	0.542	2.996
1E	1	E	8	8	0.834	6.442
2W	2	W	8	3	0.621	3
2E	2	E	8	8	0.813	5.915
3W	3	W	8	4	0.603	3.432
3E	3	E	8	7	0.829	5.884
4W	4	W	8	4	0.658	3.213
4E	4	E	8	7	0.823	5.993
5W	5	W	8	3	0.648	2.995
5E	5	E	8	7	0.832	6.077
1W	1	W	9	2	0.189	1.968
1E	1	E	9	4	0.696	3.893
2W	2	W	9	2	0.366	2
2E	2	E	9	4	0.686	3.877
3W	3	W	9	2	0.267	1.958
3E	3	E	9	4	0.675	3.637
4W	4	W	9	3	0.281	2.484
4E	4	E	9	4	0.59	3.374
5W	5	W	9	3	0.411	2.787
5E	5	E	9	4	0.604	3.334
1W	1	W	10	3	0.584	2.996
1E	1	E	10	4	0.27	2.723
2W	2	W	10	2	0.366	2
2E	2	E	10	4	0.378	3.034
3W	3	W	10	3	0.566	2.964
3E	3	E	10	4	0.42	3.245
4W	4	W	10	3	0.611	2.94
4E	4	E	10	3	0.458	2.64
5W	5	W	10	3	0.611	2.981
5E	5	E	10	3	0.47	2.428
1W	1	W	11	2	0.337	2
1E	1	E	11	2	0.44	1.999
2W	2	W	11	2	0.209	1.993
2E	2	E	11	2	0.372	1.995
3W	3	W	11	2	0.267	1.958
3E	3	E	11	2	0.265	1.96
4W	4	W	11	2	0.393	1.996
4E	4	E	11	2	0.275	1.964
5W	5	W	11	2	0.488	2
5E	5	E	11	2	0.321	1.983
1W	1	W	12	2	0.268	1.996
1E	1	E	12	3	0.347	2.613
2W	2	W	12	2	0.111	1.889
2E	2	E	12	3	0.316	2.61
3W	3	W	12	2	0.313	1.981
3E	3	E	12	3	0.414	2.842
4W	4	W	12	2	0.321	1.981
4E	4	E	12	3	0.314	2.633
5W	5	W	12	2	0.284	1.972
5E	5	E	12	4	0.388	3.126
1W	1	W	13	2	0.479	2
1E	1	E	13	2	0.425	1.999
2W	2	W	13	2	0.523	2
2E	2	E	13	2	0.372	1.995
3W	3	W	13	2	0.422	1.999
3E	3	E	13	2	0.401	1.998
4W	4	W	13	2	0.456	2
4E	4	E	13	2	0.416	1.998
5W	5	W	13	2	0.51	2
5E	5	E	13	2	0.485	2
1W	1	W	14	2	0.337	2
1E	1	E	14	2	0.201	1.893
2W	2	W	14	2	0.425	2
2E	2	E	14	2	0.15	1.799
3W	3	W	14	2	0.373	1.995
3E	3	E	14	2	0.34	1.99
4W	4	W	14	2	0.438	1.999
4E	4	E	14	2	0.223	1.92
5W	5	W	14	2	0.403	1.998
5E	5	E	14	2	0.216	1.907
1W	1	W	15	1	0	1
1E	1	E	15	2	0.201	1.893
2W	2	W	15	1	0	1
2E	2	E	15	2	0.274	1.966
3W	3	W	15	1	0	1
3E	3	E	15	2	0.145	1.782
4W	4	W	15	1	0	1
4E	4	E	15	2	0.135	1.751
5W	5	W	15	1	0	1
5E	5	E	15	2	0.168	1.825
1W	1	W	16	3	0.279	2.768
1E	1	E	16	4	0.574	3.6
2W	2	W	16	3	0.392	2.987
2E	2	E	16	5	0.649	4.035
3W	3	W	16	3	0.223	2.364
3E	3	E	16	4	0.547	2.615
4W	4	W	16	4	0.42	3.287
4E	4	E	16	3	0.525	2.286
5W	5	W	16	4	0.49	2.892
5E	5	E	16	3	0.503	2.242
1W	1	W	17	3	0.7	3
1E	1	E	17	3	0.49	2.922
2W	2	W	17	3	0.66	3
2E	2	E	17	3	0.549	2.942
3W	3	W	17	3	0.52	2.939
3E	3	E	17	3	0.678	2.999
4W	4	W	17	3	0.582	2.967
4E	4	E	17	3	0.673	2.998
5W	5	W	17	3	0.627	2.991
5E	5	E	17	3	0.671	2.997
1W	1	W	18	1	0	1
1E	1	E	18	1	0	1
2W	2	W	18	1	0	1
2E	2	E	18	1	0	1
3W	3	W	18	1	0	1
3E	3	E	18	1	0	1
4W	4	W	18	1	0	1
4E	4	E	18	2	0.036	1.286
5W	5	W	18	1	0	1
5E	5	E	18	2	0.06	1.429
1W	1	W	19	2	0.505	2
1E	1	E	19	2	0.037	1.296
2W	2	W	19	2	0.366	2
2E	2	E	19	1	0	1
3W	3	W	19	2	0.422	1.999
3E	3	E	19	1	0	1
4W	4	W	19	2	0.38	1.995
4E	4	E	19	2	0.036	1.286
5W	5	W	19	2	0.254	1.954
5E	5	E	19	2	0.03	1.242
1W	1	W	20	3	0.416	2.8
1E	1	E	20	3	0.624	2.986
2W	2	W	20	2	0.425	2
2E	2	E	20	3	0.601	2.983
3W	3	W	20	3	0.416	2.273
3E	3	E	20	3	0.598	2.972
4W	4	W	20	3	0.451	2.757
4E	4	E	20	3	0.61	2.975
5W	5	W	20	3	0.51	2.938
5E	5	E	20	3	0.589	2.95
1W	1	W	21	2	0.366	2
1E	1	E	21	5	0.499	3.455
2W	2	W	21	2	0.4	2
2E	2	E	21	4	0.614	3.794
3W	3	W	21	2	0.307	1.98
3E	3	E	21	4	0.517	3.541
4W	4	W	21	2	0.257	1.946
4E	4	E	21	4	0.342	2.907
5W	5	W	21	2	0.311	1.983
5E	5	E	21	6	0.525	3.482
1W	1	W	22	1	0	1
1E	1	E	22	2	0.073	1.509
2W	2	W	22	1	0	1
2E	2	E	22	2	0.15	1.799
3W	3	W	22	1	0	1
3E	3	E	22	2	0.038	1.308
4W	4	W	22	1	0	1
4E	4	E	22	2	0.036	1.286
5W	5	W	22	1	0	1
5E	5	E	22	2	0.06	1.429
1W	1	W	23	2	0.189	1.968
1E	1	E	23	4	0.704	3.655
2W	2	W	23	2	0.294	2
2E	2	E	23	4	0.713	3.793
3W	3	W	23	2	0.47	2
3E	3	E	23	5	0.732	4.152
4W	4	W	23	3	0.572	2.771
4E	4	E	23	5	0.695	3.913
5W	5	W	23	3	0.595	2.97
5E	5	E	23	4	0.67	3.734
1W	1	W	24	3	0.353	2.796
1E	1	E	24	2	0.391	1.997
2W	2	W	24	2	0.209	1.993
2E	2	E	24	2	0.35	1.992
3W	3	W	24	3	0.43	2.62
3E	3	E	24	4	0.307	2.737
4W	4	W	24	3	0.502	2.921
4E	4	E	24	4	0.29	2.757
5W	5	W	24	3	0.669	2.997
5E	5	E	24	4	0.274	2.683
1W	1	W	25	2	0.337	2
1E	1	E	25	3	0.653	2.987
2W	2	W	25	2	0.366	2
2E	2	E	25	3	0.621	2.966
3W	3	W	25	3	0.416	2.273
3E	3	E	25	3	0.639	2.974
4W	4	W	25	3	0.382	2.495
4E	4	E	25	3	0.595	2.882
5W	5	W	25	3	0.51	2.938
5E	5	E	25	3	0.617	2.932
1W	1	W	26	4	0.753	3.996
1E	1	E	26	4	0.754	3.97
2W	2	W	26	4	0.765	4
2E	2	E	26	4	0.737	3.933
3W	3	W	26	4	0.722	3.891
3E	3	E	26	4	0.744	3.932
4W	4	W	26	4	0.725	3.913
4E	4	E	26	4	0.728	3.928
5W	5	W	26	4	0.664	3.698
5E	5	E	26	4	0.733	3.935
1W	1	W	27	2	0.1	1.8
1E	1	E	27	2	0.492	2
2W	2	W	27	2	0.111	1.889
2E	2	E	27	2	0.458	2
3W	3	W	27	2	0.16	1.814
3E	3	E	27	2	0.498	2
4W	4	W	27	2	0.232	1.921
4E	4	E	27	2	0.506	2
5W	5	W	27	2	0.337	1.99
5E	5	E	27	2	0.506	2
1W	1	W	28	2	0.442	2
1E	1	E	28	2	0.498	2
2W	2	W	28	2	0.425	2
2E	2	E	28	2	0.47	2
3W	3	W	28	2	0.407	1.998
3E	3	E	28	2	0.434	1.999
4W	4	W	28	2	0.428	1.999
4E	4	E	28	2	0.444	1.999
5W	5	W	28	2	0.454	2
5E	5	E	28	2	0.388	1.996
1W	1	W	29	2	0.268	1.996
1E	1	E	29	4	0.56	3.347
2W	2	W	29	2	0.209	1.993
2E	2	E	29	4	0.68	3.91
3W	3	W	29	3	0.198	2.113
3E	3	E	29	5	0.689	4.131
4W	4	W	29	3	0.285	2.428
4E	4	E	29	5	0.746	4.614
5W	5	W	29	3	0.341	2.728
5E	5	E	29	5	0.745	4.516
1W	1	W	30	2	0.189	1.968
1E	1	E	30	4	0.751	3.966
2W	2	W	30	2	0.209	1.993
2E	2	E	30	4	0.757	3.972
3W	3	W	30	2	0.373	1.995
3E	3	E	30	4	0.705	3.772
4W	4	W	30	3	0.454	2.615
4E	4	E	30	4	0.664	3.477
5W	5	W	30	3	0.558	2.924
5E	5	E	30	4	0.681	3.562
1W	1	W	31	2	0.1	1.8
1E	1	E	31	3	0.534	2.89
2W	2	W	31	2	0.209	1.993
2E	2	E	31	3	0.607	2.946
3W	3	W	31	2	0.216	1.91
3E	3	E	31	3	0.58	2.904
4W	4	W	31	2	0.191	1.864
4E	4	E	31	3	0.586	2.828
5W	5	W	31	2	0.254	1.954
5E	5	E	31	3	0.576	2.763
1W	1	W	32	2	0.1	1.8
1E	1	E	32	3	0.205	2.138
2W	2	W	32	2	0.209	1.993
2E	2	E	32	2	0.115	1.695
3W	3	W	32	2	0.29	1.972
3E	3	E	32	2	0.177	1.855
4W	4	W	32	2	0.287	1.966
4E	4	E	32	3	0.198	2.113
5W	5	W	32	2	0.311	1.983
5E	5	E	32	3	0.17	2.005
1W	1	W	33	2	0.479	2
1E	1	E	33	3	0.528	2.839
2W	2	W	33	2	0.471	2
2E	2	E	33	3	0.533	2.938
3W	3	W	33	2	0.354	1.992
3E	3	E	33	4	0.497	3.084
4W	4	W	33	3	0.354	2.575
4E	4	E	33	3	0.59	2.882
5W	5	W	33	3	0.462	2.866
5E	5	E	33	3	0.579	2.906
1W	1	W	34	4	0.753	3.968
1E	1	E	34	5	0.718	4.386
2W	2	W	34	4	0.732	3.993
2E	2	E	34	5	0.725	4.559
3W	3	W	34	4	0.706	3.868
3E	3	E	34	5	0.698	3.975
4W	4	W	34	4	0.714	3.848
4E	4	E	34	5	0.635	3.985
5W	5	W	34	4	0.704	3.864
5E	5	E	34	5	0.568	3.92
1W	1	W	35	2	0.395	2
1E	1	E	35	2	0.201	1.893
2W	2	W	35	2	0.294	2
2E	2	E	35	2	0.246	1.946
3W	3	W	35	2	0.373	1.995
3E	3	E	35	2	0.292	1.974
4W	4	W	35	2	0.337	1.986
4E	4	E	35	2	0.343	1.99
5W	5	W	35	2	0.223	1.926
5E	5	E	35	2	0.388	1.996
1W	1	W	36	2	0.395	2
1E	1	E	36	2	0.475	2
2W	2	W	36	2	0.111	1.889
2E	2	E	36	2	0.509	2
3W	3	W	36	2	0.354	1.992
3E	3	E	36	2	0.51	2
4W	4	W	36	2	0.438	1.999
4E	4	E	36	2	0.493	2
5W	5	W	36	2	0.403	1.998
5E	5	E	36	2	0.491	2
1W	1	W	37	1	0	1
1E	1	E	37	1	0	1
2W	2	W	37	1	0	1
2E	2	E	37	1	0	1
3W	3	W	37	1	0	1
3E	3	E	37	2	0.038	1.308
4W	4	W	37	1	0	1
4E	4	E	37	2	0.07	1.494
5W	5	W	37	1	0	1
5E	5	E	37	2	0.216	1.907
1W	1	W	38	2	0.505	2
1E	1	E	38	4	0.526	3.613
2W	2	W	38	2	0.425	2
2E	2	E	38	4	0.541	3.253
3W	3	W	38	3	0.514	2.276
3E	3	E	38	3	0.431	2.766
4W	4	W	38	3	0.52	2.211
4E	4	E	38	3	0.259	2.471
5W	5	W	38	2	0.511	2
5E	5	E	38	3	0.117	1.814
1W	1	W	39	4	0.679	3.8
1E	1	E	39	5	0.742	4.316
2W	2	W	39	3	0.647	3
